start_node,relations,end_node
认知工作分析,isTypeOf,复杂系统分析方法
认知工作分析,proposedBy,Jens Rasmussen
认知工作分析,hasComponent,工作域分析
认知工作分析,hasComponent,控制任务分析
认知工作分析,hasComponent,策略分析
认知工作分析,hasComponent,社会组织与合作分析
认知工作分析,hasComponent,工作者能力分析
抽象层次结构,isModelingTool,工作域分析
决策梯模型,isModelingTool,控制任务分析
城市空中交通,isApplicationOf,智能座舱交互设计
同济大学,conductsCourse,智能座舱交互设计课程
5E教学模式,appliedIn,交互设计课程
抽象层次结构,consistsOf,功能目的层
抽象层次结构,consistsOf,价值优先层
抽象层次结构,consistsOf,目的相关功能层
抽象层次结构,consistsOf,物理功能层
抽象层次结构,consistsOf,物理形式层
决策梯模型,hasShortcutType,经验驱动型
决策梯模型,hasShortcutType,自动化驱动型
生态界面设计,relatedTo,认知工作分析
可用性测试,measures,任务效率
可用性测试,measures,任务有效性
可用性测试,measures,用户满意度
SUS量表,usedIn,可用性评估
绿野仙踪法,isMethodOf,原型测试
实时探针法,isMethodOf,用户行为观察
飞行驾驶操作杆,simulates,真实驾驶环境
中控屏原型,hasFunction,载具监控
中控屏原型,hasFunction,导航功能
中控屏原型,hasFunction,通信功能
中控屏原型,hasFunction,自动驾驶控制
中控屏原型,hasFunction,安全功能
中控屏原型,hasFunction,调节控制
警告激活任务,isCriticalFor,出行安全
远程机长通信,isSubtaskOf,警告激活任务
王建民,affiliatedWith,同济大学
由芳,affiliatedWith,同济大学
用户体验实验室,providesResource,智能座舱研究
认知工作分析,helpsPrevent,人因失误
复杂人机系统,existsIn,交通领域
复杂人机系统,existsIn,医疗领域
复杂人机系统,existsIn,军事领域
功能架构图,derivedFrom,认知工作分析
高保真原型,testedBy,可用性测试
界面设计,basedOn,用户信息需求
研究生课程,aimsToDevelop,复杂系统设计能力
实地调研,conductedAt,CityFlight体验馆
桌面调研,supplements,实地调研
用户调研,includes,问卷调研
用户调研,includes,深度访谈
抽象层次结构,helpsDefine,设计边界
决策梯模型,reveals,用户信息需求
功能架构图,guides,界面原型设计
中控屏布局,referencedFrom,汽车座舱设计
可用性测试,uses,绿野仙踪法
可用性测试,uses,实时探针法
实验被试,hasAttribute,车辆驾驶经验
任务完成时间,indicates,界面效率
SUS得分,reflects,用户满意度
设计迭代,triggeredBy,测试结果分析
认知工作分析,enhances,人机环境思维
5E教学模式,hasPhase,吸引阶段
5E教学模式,hasPhase,探索阶段
5E教学模式,hasPhase,解释阶段
5E教学模式,hasPhase,迁移阶段
5E教学模式,hasPhase,评价阶段
吸引阶段,involves,案例分享
探索阶段,involves,自主选题
解释阶段,involves,成果汇报
迁移阶段,involves,工具整合
评价阶段,involves,互相测试
飞行器座舱,hasFunction,姿态监控
飞行器座舱,hasFunction,高度监控
飞行器座舱,hasFunction,导航系统
飞行器座舱,hasFunction,通信系统
飞行器座舱,hasFunction,安全警报
认知工作分析,appliedIn,工业4.0系统
认知工作分析,appliedIn,空中交通管理
认知工作分析,appliedIn,驾驶行为研究
并行分布处理,isFeatureOf,联结主义
文献计量法,usesTool,Citespace
CWA研究,hasCluster,限制集群
CWA研究,hasCluster,设计集群
CWA研究,hasCluster,复杂系统集群
认知工作分析,compatibleWith,参与式设计
教学案例,focusesOn,警告激活场景
设计优化,targets,报警按钮显著性
智能座舱交互,requires,多学科知识
课程成果,demonstrates,方法论有效性
研究生培养,enhancedBy,实践型课程
复杂系统设计,demands,系统思维
功能架构推导,supportedBy,认知工作分析
界面原型,evaluatedThrough,可用性测试
设计迭代,basedOn,用户反馈
学术交流,facilitates,设计改进
汽车人机交互,benefitsFrom,实验室资源
认知工作分析,promotes,人机环境和谐
深圳研究院,collaboratesWith,同济大学
国际科技合作,supports,研究项目
飞行驾驶模拟,requires,操作杆设备
警告系统,includes,视觉警告
警告系统,includes,听觉警告
安全关键任务,demands,高效交互
设计教育,innovatedThrough,分析方法融合
