start_node,relations,end_node
认知神经科学概论,isTypeOf,课程
认知神经科学概论,hasPart,理论教学
认知神经科学概论,hasPart,项目实践
教学目标,hasPart,知识目标
教学目标,hasPart,能力目标
教学目标,hasPart,素质目标
知识目标,relatedTo,理解认知功能
能力目标,relatedTo,动手能力
素质目标,relatedTo,自主学习
课程内容,includes,认知神经科学发展历程
课程内容,includes,实验设计方法
课程内容,includes,数据采集技术
课程内容,includes,数据分析技术
电子科技大学,offers,认知神经科学概论
科技部科技创新2030项目,funds,认知神经科学概论
电子科技大学新生项目课程,funds,认知神经科学概论
项目实践,isTypeOf,教学方法
项目实践,basedOn,体验式学习
基于脑波音乐的神经反馈技术,isTypeOf,项目
基于脑波音乐的神经反馈技术,hasComponent,脑波音乐对疲劳的调控
基于脑波音乐的神经反馈技术,hasComponent,脑波音乐对抑制控制功能的调控
项目实践流程,hasPart,课堂内部分
项目实践流程,hasPart,课堂外部分
课堂内部分,includes,项目分组
课堂内部分,includes,基础知识学习
课堂内部分,includes,小组PPT汇报
课堂内部分,includes,互动讨论
课堂外部分,includes,文献解读
课堂外部分,includes,查阅论文
课堂外部分,includes,项目实操演练
课堂外部分,includes,汇报准备
课堂外部分,includes,项目报告撰写
小组PPT汇报,hasOccurrences,三次
项目实操演练,includes,数据采集
项目实操演练,includes,数据分析
脑波音乐,developedBy,课题组
脑波音乐,appliedIn,音乐治疗
脑波音乐,appliedIn,生物反馈
神经反馈技术,basedOn,脑波音乐
神经反馈技术,appliedIn,疲劳调控
神经反馈技术,appliedIn,抑制控制功能调控
翻转课堂,isTypeOf,教学模式
案例实践,isTypeOf,教学模式
翻转课堂,usesMethod,学生自主学习
案例实践,usesMethod,项目实操
教学模式创新,increases,课堂吸引力
基于脑波音乐的神经反馈技术,isApplicationOf,神经反馈
神经反馈,relatedTo,脑波音乐
项目实践,influences,学习兴趣
项目实践,enhances,实践能力
体验式学习,enhances,理论理解
翻转课堂,promotes,互动性
案例实践,deepens,课程理解
文献解读,supportedBy,教师指导
自主查阅,enhances,学习深度
项目分组,involves,学生
互动讨论,facilitates,知识分享
基础知识学习,relatedTo,认知神经科学概念
评价方法,isTypeOf,考核机制
过程性考核,isTypeOf,评价方法
期末考核,isTypeOf,评价方法
过程性考核,includes,课堂讨论
过程性考核,includes,学生展示
期末考核,isTypeOf,项目报告
课堂讨论,evaluates,参与度
课堂讨论,assesses,团队协作
学生展示,evaluates,解决问题能力
学生展示,assesses,数据处理能力
学生展示,involves,问答环节
项目报告,evaluates,规范性
项目报告,evaluates,逻辑性
项目报告,evaluates,创新性
项目报告,servesAs,考核依据
项目报告撰写,requires,学术写作
评价改革,enhances,学习动力
考核评价,improves,教学实效
卢竞,isTypeOf,副教授
郭思嘉,isTypeOf,助理研究员
卢竞,proposedBy,课程设计
郭思嘉,proposedBy,课程设计
Zatorre教授,proposedBy,听觉-运动交互理论
课题组,developedBy,脑波音乐生成技术
学生,involvedIn,项目分组
教师,supports,文献解读
听觉-运动交互理论,relatedTo,节奏感知
节奏感知,involves,听觉区域
节奏感知,involves,运动区域
运动区域,includes,运动前皮层
运动区域,includes,辅助运动区
运动区域,includes,基底神经节
音乐神经科学,relatedTo,听觉认知
认知神经科学概论,studies,认知行为
认知神经科学概论,studies,大脑机制
认知神经科学概论,studies,心理学现象
脑波音乐,usedIn,疲劳恢复
脑波音乐,usedIn,抑制控制改善
神经反馈技术,helps,疲劳调控
神经反馈技术,helps,抑制控制功能调控
听觉-运动交互理论,explains,节奏感知机制
认知神经科学概论,contributesTo,研究型人才培养
认知神经科学概论,contributesTo,复合型人才培养
项目实践,contributesTo,学术成长
教学模式创新,contributesTo,教学提质增效
评价方法,contributesTo,综合素质培养
课程设计,influencedBy,交叉学科特征
脑波音乐技术,appliedIn,神经调控研究
基于脑波音乐的神经反馈技术,promotes,学习兴趣
翻转课堂+案例实践,enhances,研究性学习能力
过程性考核,fosters,批判性思维
