start_node,relations,end_node
人工智能,isTypeOf,认知科学分支
道德主体,requires,自我意识
人类心智,hasComponent,神经认知
人类心智,hasComponent,心理认知
人类心智,hasComponent,语言认知
人类心智,hasComponent,思维认知
人类心智,hasComponent,文化认知
自上而下进路,proposedBy,阿西莫夫
机器人三大定律,isBasisFor,伦理准则设计
自下而上进路,exemplifiedBy,ChatGPT
混合式进路,basedOn,亚里士多德美德伦理学
神经认知,simulates,海马体功能
心理认知,lacks,内隐学习能力
语言认知,usesMethod,自然语言处理
自然语言处理,hasLimitation,语义理解
思维认知,requires,抽象概念生成
文化认知,manifestedIn,艺术创作
人工智能,lacks,自由意志
深度学习,appliedIn,生成式AI
ChatGPT,isTypeOf,大语言模型
伦理辩护,focusesOn,科技向善
伦理治理,targets,研发责任
伦理创新,involves,道德理论重构
认知科学,studies,信息传递机制
人工智能,influencedBy,认知神经科学
语言系统,hasType,自然语言
语言系统,hasType,程序语言
思维认知,requires,判断推理能力
文化认知,characterizedBy,创造力
人工智能,appliedIn,艺术生成
AI绘图,lacks,情感表达
道德主体地位,requires,行为判断力
伦理治理,emphasizes,人本研发
认知科学,integrates,六大学科
生成式AI,basedOn,海量数据
神经形态芯片,simulates,人脑加工
强化学习,derivedFrom,行为主义心理学
人工智能,hasComponent,算法模型
道德责任,belongsTo,人类设计者
伦理创新,challenges,传统道德理论
语言认知,involves,语法处理
语言认知,involves,语义理解
语言认知,involves,语用分析
思维认知,manifestedIn,悖论分析
文化认知,exemplifiedBy,科学艺术哲学
人工智能,operatesVia,输入输出模式
自上而下进路,facesChallenge,伦理冲突
自下而上进路,risks,偏见传播
混合式进路,combines,理论实践智慧
认知科学,emergedIn,1975
人工智能,proposedBy,麦卡锡
道德主体,definedBy,责任承担能力
神经认知,studiedVia,计算神经科学
心理认知,contrastsWith,机器感知
语言认知,limitedBy,语义鸿沟
思维认知,requires,意向性
文化认知,absentIn,人工智能创作
伦理辩护,advocates,辩证态度
伦理治理,prioritizes,人类控制
伦理创新,explores,机器道德权益
认知层级论,proposedBy,蔡曙山
人工智能,classifiedAs,弱人工智能
强人工智能,requires,意识能动性
深度学习,dependsOn,大数据
自然语言处理,usedIn,机器翻译
生成式AI,exhibits,文本重组
道德主体地位,deniedTo,当前AI
伦理风险,addressedBy,政策规范
人机共生,characterizes,AI本质
认知科学,contributesTo,AI发展
语言认知,isBasisFor,思维认知
思维认知,isBasisFor,文化认知
人工智能,simulates,低阶认知
伦理治理,involves,国际合作
认知五层级,forms,递进结构
功利主义,appliedIn,AI伦理设计
道义论,appliedIn,AI伦理设计
美德伦理学,bridges,混合进路
人工智能,faces,语义理解障碍
自我意识,isKeyTo,道德主体
文化创作,requires,主观能动性
AI艺术,lacks,情感共鸣
伦理创新,promotes,道德进化
认知科学,providesFramework,AI分析
神经认知,studiedVia,海马体机制
心理认知,differsFrom,刺激反应模型
语言认知,hinderedBy,语用局限
思维认知,absentIn,抽象概念生成
文化认知,unattainableFor,当前AI
可持续发展,achievedThrough,伦理融合
人因失误,preventedBy,人本设计
认知层级,defines,人类独特性
人工智能,evolvesTowards,类人化
道德责任归属,clarifiedBy,伦理治理
科技向善,guidedBy,伦理方向盘
语义鸿沟,separates,人类与AI智能
自主决策,limitedIn,当前AI
文化传承,exclusiveTo,人类智能
伦理教育,enhances,公众科学素养
认知科学,enables,跨学科理解
人工智能,challenges,传统伦理
