start_node,relations,end_node
认知科学,studies,心智
大脑,isPartOf,认知系统
情绪,isPartOf,认知过程
环境,influences,认知能力
心智,isTypeOf,动态系统
认知科学,usesMethod,脑成像技术
fMRI,isTypeOf,脑成像技术
ERP,isTypeOf,脑成像技术
PET,isTypeOf,脑成像技术
人类脑计划,studies,神经信息学
神经信息学,basedOn,神经科学
神经信息学,basedOn,信息学
认知科学,appliedIn,临床医疗
认知科学,appliedIn,智能机器
认知科学,appliedIn,学习和教育
学习,hasComponent,记忆
记忆,isTypeOf,认知功能
认知功能,basedOn,大脑
情绪,relatedTo,学习
情绪,relatedTo,记忆
多学科融合,influences,认知科学发展
神经信息学,isTypeOf,分支学科
知识科学,isTypeOf,分支学科
认知科学,hasPart,认知神经科学
认知神经科学,studies,脑机制
脑机制,relatedTo,认知过程
认知研究,usesMethod,分子细胞生物学技术
认知能力,basedOn,自然选择
神经可塑性,isTypeOf,动态特性
认知科学,studies,认知发展
认知科学,studies,认知衰老
认知研究,hasComponent,多层次分析
神经信息技术,appliedIn,IT业
知识科学,studies,知识
认知科学,appliedIn,神经退行性疾病治疗
人工智能,simulates,人类认知
教育技术,uses,认知原理
符号处理模型,basedOn,表征和计算
计算,isTypeOf,研究主题
脑与认知科学,studies,计算
认知模型,basedOn,大脑机制
脑成像技术,influences,大脑科学发展
语言,isTypeOf,认知过程
注意,isTypeOf,认知过程
感知,isTypeOf,认知过程
思维,isTypeOf,认知过程
意识,isTypeOf,认知过程
认知科学,relatedTo,多学科交叉
认知发展,hasPart,儿童认知发展
认知衰老,relatedTo,老年认知变化
fMRI,isUsedBy,认知神经科学研究
ERP,isUsedBy,事件相关电位研究
PET,isUsedBy,正电子发射断层扫描研究
神经可塑性,relatedTo,学习
海马区,relatedTo,记忆
前额皮层,relatedTo,执行功能
执行功能,isTypeOf,认知控制
认知控制,hasComponent,执行功能
情绪,influences,决策
环境,influences,认知发展
文化,influences,认知结构
多学科融合,relatedTo,新学科产生
神经信息学,hasApplication,人类脑计划
知识科学,appliedIn,知识管理
临床医疗,includes,神经退行性疾病治疗
智能机器,basedOn,认知模型
机器人,simulates,人类行为
教育技术,relatedTo,学习效率
认知行为疗法,isTypeOf,心理治疗
认知行为疗法,appliedIn,抑郁症治疗
脑机接口,isTypeOf,神经技术
虚拟现实,usedIn,认知康复
增强现实,appliedIn,教育技术
认知科学研究,relatedTo,多学科挑战
记忆,hasType,短时记忆
记忆,hasType,长时记忆
学习,involves,记忆更新
感知,hasComponent,视觉感知
语言,studiedBy,心理语言学
人工智能,basedOn,认知科学
深度学习,isTypeOf,机器学习方法
强化学习,usedIn,自适应系统
元学习,relatedTo,学习如何学习
认知偏差,isTypeOf,认知现象
风险认知,relatedTo,决策
认知地图,isTypeOf,空间表示
错误概念,studiedIn,教育研究
认知策略,usedIn,问题解决
神经递质,relatedTo,认知功能
多巴胺,influences,奖励学习
血清素,relatedTo,情绪调节
乙酰胆碱,relatedTo,记忆
默认网络,relatedTo,静息状态
事件相关电位,measures,脑活动
眼动追踪,usedIn,阅读研究
脑电图,detects,脑电波
科学计量学,appliedIn,研究评估
计算建模,simulates,认知过程
日本脑科学时代计划,studies,计算原理
认知科学,studies,信息加工
认知神经科学,usesMethod,脑成像技术
情绪研究,isPartOf,认知科学
情绪,relatedTo,情绪表达
情感计算,isTypeOf,研究方向
脑与认知科学国家重点实验室,usesMethod,脑功能成像
认知科学,appliedIn,知识传递
认知科学,relatedTo,认知增强
