start_node,relations,end_node
创造力研究,studies,认知神经机制
创造力研究,studies,AI影响
个体创造力,hasComponent,评估标准
评估标准,isTypeOf,宽松标准
评估标准,isTypeOf,理想标准
评估标准,isTypeOf,严格标准
N400振幅,relatedTo,创新想法生成
LSP振幅,relatedTo,创新想法生成
严格标准,influences,N400振幅变化
宽松标准,influences,LSP振幅变化
不公平情境,influences,恶意创造行为
恶意创造任务,hasComponent,观点新颖性
恶意创造任务,hasComponent,观点伤害性
右侧额上回,relatedTo,静息态活动
右侧额中回,relatedTo,反应抑制
颞颞中回,relatedTo,创意想法生成
tDCS技术,appliedIn,创造性思维调节
额下回,influencedBy,tDCS刺激
语义距离,relatedTo,创造性问题解决
L+R-刺激,promotes,分析性策略
L-R+刺激,promotes,联想性策略
奖惩因素,influences,创造力表现
高强度奖励,promotes,创造力
高强度惩罚,inhibits,创造力
背外侧前额叶皮层,activatedIn,奖惩任务
团体创造力,hasComponent,脑间同步性
恋人团体,shows,高脑间同步性
额极皮层,relatedTo,语义关系整合
右侧颞颞顶联合区,relatedTo,社会互动
模糊容忍性,influences,团队适应能力
高模糊容忍性,promotes,模糊情境适应
前额极IBS,relatedTo,观点结合程度
交流模式,hasType,在线视频交流
交流模式,hasType,在线文本交流
交流模式,hasType,面对面交流
在线文本组,shows,低团体创造力
在线视频组,shows,高观点采用倾向
k-means聚类,usedFor,动态脑间同步分析
社会动机多样性,influences,团体创造力
前额叶IBS,increasedIn,社会动机多样性组
虚拟团队,includes,AI助手
全程合作,activates,左侧额下回
自主合作,activates,左侧角回
顿悟体验,hasComponent,情绪加工
顿悟体验,hasComponent,认知加工
N1成分,relatedTo,顿悟感
背外侧前额叶皮质,involvedIn,顿悟问题解决
阴极刺激,inhibits,左侧DLPFC
AI焦虑,influences,AI创造力评价
高AI焦虑,lowers,AI创造力评分
创新自我效能感,mediates,AI焦虑影响
AI性别刻板印象,influences,创造力评价
男性参与者,ratesHigher,女性AI创造力
女性参与者,ratesHigher,男性AI创造力
人机共创,involves,AI评价者
AI评价者,shows,高客观性
人类评价者,comparedTo,AI评价者
生态效度,importantFor,创造力研究
fNIRS技术,appliedIn,高生态效度研究
脑间同步性,measuredBy,fNIRS
自然交流范式,simulates,真实情境
黄福荣团队,conducted,评估标准研究
郝宁团队,conducted,恶意创造行为研究
胡卫平团队,conducted,奖惩影响研究
段海军团队,conducted,恋人团体研究
衣新发团队,conducted,模糊容忍性研究
刘宁团队,conducted,社会动机多样性研究
胡卫平团队,conducted,虚拟团队研究
安立鹏团队,conducted,顿悟体验研究
赵庆柏团队,conducted,顿悟神经表征研究
信号检测论,usedFor,评估标准计算
最后通牒任务,usedFor,不公平情境操纵
远距离联系测验,usedFor,创造性思维测量
fMRI技术,usedFor,脑区激活分析
tDCS技术,usedFor,神经干预
超扫描技术,usedFor,脑间同步性研究
微状态分析,usedFor,神经表征区分
ERP技术,usedFor,顿悟成分检测
创新人才培养,benefitsFrom,创造力研究
新质生产力,relatedTo,心智创造力
六心智模型,usedFor,创新人才解释
双通道创造力理论,extendedTo,团队创造力
图论方法,usedFor,超脑网络分析
全局效率,increasesIn,模糊情境
默认模式网络,activeIn,顿悟条件
执行功能,weakerIn,未解决条件
AI创造力评价,affectedBy,性别偏见
同性AI,ratedLower,创造力评价
异性AI,ratedHigher,创造力评价
人机共创模式,optimizableFor,创造力提升
无性别属性AI,proposedFor,偏见消除
跨学科合作,keyFor,创造力研究发展
政策支持,neededFor,研究成果转化
行业合作,facilitates,实际应用
