start_node,relations,end_node
认知科学,hasDevelopmentStage,萌芽时期(1900-1978)
萌芽时期(1900-1978),hasKeyEvent,《认知心理学》出版
认知科学,hasDevelopmentStage,诞生初期(1979-1990)
诞生初期(1979-1990),hasKeyEvent,美国认知科学学会成立
认知科学,hasDevelopmentStage,快速发展时期(1991-2010)
快速发展时期(1991-2010),hasCharacteristic,发文量爆发增长
S曲线理论,describes,认知科学演进规律
认知学习理论,proposedBy,布鲁纳(Jerome Seymour Bruner)
归因理论,basedOn,P-O-X模型
心理理论,verifiedBy,黑猩猩实验
执行功能模型,explains,认知控制机制
符号处理模型,contrastsWith,联结主义模型
修正理论,appliedIn,推理阶段迭代
开放认知理论,supports,语境化表征
米勒(George Armitage Miller),discovered,短时记忆容量
皮亚杰(Jean Piaget),defined,图式概念
奈瑟尔(Ulric Neisser),founded,认知心理学
扎荣茨(Robert Zajonc),explained,曝光效应
菲斯克(Susan T. Fiske),systematized,社会认知理论
阿普尔亚德(Donald Appleyard),classified,认知地图类型
南纳利(Jum Clarence Nunnally),standardized,Alpha信度系数
词频分析,appliedIn,发展阶段划分
作者共被引分析,identifies,领域核心人物
Citespace软件,generates,可视化知识图谱
fMRI技术,reveals,脑区激活模式
眼动追踪,records,视觉注意路径
科学计量学,quantifies,学科发展态势
深度学习,simulates,神经网络认知
强化学习,optimizes,决策序列
脑机接口,facilitates,认知康复训练
知识图谱,organizes,概念关联网络
ChatGPT,implements,对话式认知
虚拟现实,creates,沉浸学习环境
阿尔茨海默病,impairs,情景记忆
精神分裂症,disrupts,执行功能
抑郁症,affects,认知灵活性
癫痫,causes,神经传导异常
帕金森病,damages,多巴胺系统
轻度认知功能损害,precedes,痴呆症
教育技术,applies,建构主义学习
自动驾驶,requires,环境感知认知
智能医疗,utilizes,疾病认知模型
推荐系统,leverages,用户偏好认知
认知行为疗法,improves,情绪调节能力
工作记忆,temporarilyStores,处理信息
情景记忆,encodes,时空事件
语义记忆,contains,概念性知识
注意吸引,selects,关键刺激
认知地图,represents,空间关系
认知偏差,distorts,信息加工
