start_node,relations,end_node
认知神经科学,basedOn,功能定位理论
认知神经科学,basedOn,神经元理论
功能定位理论,proposedBy,弗朗茨·约瑟夫·盖尔
骨相学,influencedBy,弗朗茨·约瑟夫·盖尔
语言中枢,proposedBy,P.布洛克
语言中枢,isPartOf,左额叶
功能定位理论,usesMethod,缺损法
功能定位理论,usesMethod,刺激法
神经心理学,proposedBy,卢里亚
神经心理学,studies,脑外伤
神经元理论,proposedBy,C·高尔基
神经元理论,usesMethod,硝酸银浸染法
突触,discoveredBy,卡雅
突触信息传达,discoveredBy,奥托·洛伊
神经组织电学属性,discoveredBy,杜波伊斯·雷蒙德
活动潜能频率,discoveredBy,洛德·亚德里安
视网膜电图,discoveredBy,R.格拉尼特
神经元理论,isBasisFor,认知神经科学
特征检测器,discoveredBy,20世纪科学家
感觉,studies,大脑皮层
感受野,isTypeOf,感觉神经元属性
对比探测,isTypeOf,基本感觉作用
地形编织,isTypeOf,空间描述
模块,isTypeOf,皮质组织
柱状组织,isTypeOf,皮质组织
分级处理,isTypeOf,信息运算
并行处理,isTypeOf,信息运算
视觉系统,hasPart,丘脑后部膝状核
视觉系统,hasPart,初级视觉皮层(V1)
视觉系统,hasPart,颞颞下视觉区
视觉系统,hasPart,基因条纹投射
视觉系统,hasPart,上丘视网膜投射
知觉,relatedTo,感觉经验
知觉恒定性,isTypeOf,知觉属性
尺寸恒定性,isTypeOf,知觉恒定性
光亮恒定性,isTypeOf,知觉恒定性
知觉亚稳定性,isTypeOf,不确定性
感觉同义性,isTypeOf,不确定性
中级视觉处理,relatedTo,空间联系重构
高级视觉处理,relatedTo,客体识别
颞颞叶,relatedTo,高级知觉解释
知觉解释,hasStage,中级视觉处理
知觉解释,hasStage,高级视觉处理
运动控制,relatedTo,感觉处理
运动控制,relatedTo,坐标系转变
大脑皮层,hasPart,运动控制区
上丘,hasPart,感觉运动整合
上丘,hasPart,视觉运动控制
脑干运动细胞核,hasPart,运动信号传送
运动学习,relatedTo,神经元联系调整
记忆,hasType,长期增效
记忆,hasType,长期抑制
记忆,relatedTo,突触功效变化
记忆,relatedTo,信息储存
记忆,relatedTo,信息恢复
语言,isTypeOf,认知功能
语言,relatedTo,左半脑
语言发展,relatedTo,大脑语言系统
语言不对称性,relatedTo,左半脑
感觉通路神经区,relatedTo,语言处理
意识,relatedTo,前额叶皮层
意识,relatedTo,海马区
意识,relatedTo,神经网络激活
前额叶损伤,relatedTo,注意损伤
海马区,relatedTo,有意识事件编码
认知神经科学,studies,意识
意识,hasType,有意识的觉察
意识,hasType,较高级的官能
意识,hasType,意识状态
有意识的觉察,hasType,概括性觉察
有意识的觉察,hasType,元认知觉察
有意识的觉察,hasType,有意识回忆
较高级的官能,hasType,注意
较高级的官能,hasType,推理
较高级的官能,hasType,自我控制
意识状态,hasType,有意识
意识状态,hasType,无意识
意识状态,hasType,综合性调节
意识状态,hasType,可感受的特性
还原论,proposedBy,P.M.丘奇兰德
还原论,proposedBy,P.S.丘奇兰德
还原论,appliedIn,心身问题
功能定位理论,isBasisFor,认知神经科学
神经元理论,isBasisFor,认知神经科学
认知科学,influences,认知神经科学
神经科学,influences,认知神经科学
认知神经科学,usesMethod,单细胞电生理学
认知神经科学,usesMethod,功能性脑成像
认知神经科学,usesMethod,分子遗传学控制
认知神经科学,usesMethod,神经元运算
感受野,hasComponent,空间位置
感受野,hasComponent,强度
感受野,hasComponent,频率
对比探测,relatedTo,信号变化
地形编织,relatedTo,神经元图
模块,relatedTo,视觉皮质分区
分级处理,relatedTo,抽象描述
并行处理,relatedTo,视觉层流
感觉神经元,relatedTo,物理参数
知觉辨别力,relatedTo,神经元基质
功能定位论,relatedTo,等位论
腹侧通路,relatedTo,客体识别
意识分类,includes,有意识的觉察
意识模型,basedOn,表征相互作用
意识加工,relatedTo,加工产物觉知
无意识加工,relatedTo,低层次分析
目标指引,relatedTo,无意识加工
兴奋灶更替,relatedTo,意识内容
海马编码,relatedTo,有意识事件
意识研究,isStudiedBy,认知神经科学
认知活动,hasComponent,分子组件
认知活动,hasComponent,细胞组件
认知活动,hasComponent,脑组织区
视觉通路,hasComponent,腹侧通路
客体识别,relatedTo,神经细胞参与
