start_node,relations,end_node
认知,isTypeOf,信息处理过程
认知,isTypeOf,心理符号运算
认知,isTypeOf,问题求解
认知,isTypeOf,思维
认知,hasPart,知觉
认知,hasPart,记忆
认知,hasPart,思维
认知,hasPart,判断推理
认知,hasPart,问题求解
认知,hasPart,学习
认知,hasPart,想象
认知,hasPart,概念形成
认知,hasPart,语言使用
认知科学,studies,人类感知
认知科学,studies,思维信息处理
认知科学,studies,智能活动
认知科学,isTypeOf,跨学科科学
认知科学,basedOn,实验验证
认知科学,basedOn,数学描述
柏拉图,relatedTo,认知讨论
亚里士多德,relatedTo,认知讨论
笛卡尔,proposed,唯理论
洛克,proposed,经验论
冯特,established,实验心理学
奈塞,proposed,认知心理学
1975年,hasEvent,认知科学术语公开使用
1979年,hasEvent,认知科学学会成立
皮亚杰,debated,乔姆斯基
格德纳,wrote,认知时代来到了
认知心理学,proposedBy,奈塞
实验心理学,proposedBy,冯特
唯理论,influencedBy,笛卡尔
经验论,influencedBy,洛克
认知科学学会,foundedIn,1979
加州大学圣迭戈分校,established,认知科学系
麻省理工学院,established,认知科学系
认知科学,developedIn,中国七五计划
中国科学院,hasPart,认知科学开放实验室
前人工智能时期,isTypeOf,认知发展阶段
前人工智能时期,relatedTo,控制论
前人工智能时期,relatedTo,自组织系统
前人工智能时期,relatedTo,机器翻译
符号处理模型,isTypeOf,认知发展阶段
符号处理模型,basedOn,符号表达
符号处理模型,influences,人工智能
符号处理模型,influences,认知心理学
符号处理模型,influences,语言学
联结主义模型,isTypeOf,认知发展阶段
联结主义模型,proposes,单元相互作用
联结主义模型,basedOn,子符号表达
联结主义模型,explains,感觉过程
联结主义模型,explains,身体运动
联结主义模型,explains,认知过程
人工神经网络,simulates,联结主义模型
认知计算理论,basedOn,图灵机概念
符号处理学说,proposedBy,认知科学现状委员会
联结主义学说,proposedBy,认知科学家
认知神经科学,isTypeOf,研究趋势
基于环境的认知,isTypeOf,研究趋势
认知神经科学,emphasizes,生物学约束
基于环境的认知,emphasizes,环境互动
计算与智力关系,relatedTo,基础问题
认知科学,requires,新原则
认知科学,requires,新概念模型
脑认知成像技术,isTypeOf,实验技术趋势
脑认知成像技术,enables,功能定位
脑认知成像技术,enables,活动可视化
G·M·Edehron,criticized,图灵机模型
T·Wiongrad,criticized,认知计算理论
D·N·Aormon,criticized,计算概念
认知科学,faces,统一整合挑战
认知系统,hasComponent,复杂性
脑认知成像技术,usesMethod,功能性磁共振成像
脑认知成像技术,usesMethod,脑电图
脑认知成像技术,usesMethod,脑磁图
脑认知成像技术,usesMethod,正电子发射断层扫描
认知科学,appliedIn,多维研究
认知科学,basedOn,计算机技术进步
跨学科研究方法,relatedTo,问题挑战
认知科学,promotes,新认识论
冯·诺伊曼,relatedTo,控制论研究
沃尔特·皮茨,relatedTo,控制论研究
沃伦·麦克洛,relatedTo,控制论研究
齐利格·哈利斯,relatedTo,控制论研究
乔姆斯基,relatedTo,控制论研究
奈塞,influences,认知心理学
皮亚杰,influences,认知发展
乔姆斯基,influences,语言学
刘晓力,studies,认知科学研究纲领
熊哲宏,proposed,认知科学导论
姜虹,authored,认知科学的兴起及其发展路径
霍斯顿,classified,认知类型
认知科学现状委员会,defined,认知科学
认知科学,hasMission,跨学科整合
中国,hasProject,攀登计划
攀登计划,organized,心理学研究
攀登计划,organized,计算机科学研究
攀登计划,organized,神经科学研究
认知科学,requires,人才培养
认知科学,basedOn,知识积累
认知科学开放实验室,isPartOf,中国科学院
认知科学系,establishedAt,加州大学圣迭戈分校
认知科学系,establishedAt,麻省理工学院
认知科学,hasChallenge,统一整合
认知科学,influences,人类自我认知
中国七五计划,includes,认知科学重大项目
