start_node,relations,end_node
意识研究,studies,认知神经机制
建构块进路,isTypeOf,意识研究进路
统一场进路,isTypeOf,意识研究进路
盲视,isPartOf,建构块进路
双目竞争,isPartOf,建构块进路
完形转换,isPartOf,建构块进路
视知觉神经相关,isPartOf,建构块进路
SOAH假说,isPartOf,统一场进路
DCH假说,isPartOf,统一场进路
V1区,relatedTo,视感觉形成
丘脑皮层系统,relatedTo,意识产生
动态核,relatedTo,NCC整体态
分离说,explains,盲视现象
补偿说,explains,盲视现象
双目竞争实验,usesMethod,立体镜技术
完形转换实验,usesMethod,两可图呈现
fMRI技术,usedFor,脑区定位
裂脑受试,usedFor,对照组设计
40Hz同步振荡,relatedTo,意识产生
再进入机制,relatedTo,功能簇形成
意识经验,hasComponent,主体性
意识经验,hasComponent,私密性
THHD理论,attemptsTo,消除主体性
捆绑问题,challenges,建构块进路
统一场进路,avoids,捆绑问题
克里克,proposed,SSH假说
埃德尔曼,proposed,DCH假说
托诺尼,proposed,DCH假说
利纳斯,proposed,SOAH假说
塞尔,classified,研究进路
NCC,definedAs,神经相关物
ncc,definedAs,特定神经相关
建构块进路,basedOn,神经解剖学
建构块进路,basedOn,神经病理学
统一场进路,basedOn,数学建模
统一场进路,basedOn,计算机模拟
意识,characterizedBy,统一性
意识,characterizedBy,分化性
视感觉,distinctFrom,视知觉
盲视患者,exhibits,无感有知
鸭兔图,usedIn,完形转换实验
丘脑,keyPartOf,丘脑皮层系统
皮层,keyPartOf,丘脑皮层系统
功能簇,definedAs,神经元群体
动态核假说,addresses,意识统一性
同步振荡假说,addresses,意识时序性
认知神经科学,facesChallenge,私密性问题
取消主义,influenced,THHD理论
概念二元论,influenced,THHD理论
感受特质,synonymFor,意识经验
高阶分辨能力,postulatedBy,THHD理论
建构块进路,hasAdvantage,实验可检验性
建构块进路,hasDisadvantage,预设争议
统一场进路,hasAdvantage,预设合理性
统一场进路,hasDisadvantage,局部解释弱
神经影像学,keyMethodFor,建构块进路
电生理学,keyMethodFor,统一场进路
恒河猴实验,supports,非局部神经回路
注意变化,causes,意识经验交替
外部刺激,modulates,预先存在意识
再进入机制,ensures,神经元协作
量化研究方案,providedBy,DCH假说
意识活动,correlatesWith,丘脑皮层兴奋
哲学思考,complements,神经科学研究
主体性难题,unsolvedBy,当前框架
取消主义立场,adoptedBy,早期克里克
谨慎态度,adoptedBy,近期克里克
现象语言,usedIn,概念二元论
神经术语,usedIn,取消主义
复合方案,proposedFor,私密性问题
进化保守结构,discoveredIn,影像学研究
两可图,elicits,知觉交替
立体镜,creates,竞争刺激
补偿性通路,hypothesizedIn,补偿说
视阈盲区,causedBy,V1区损伤
猜测报告,characteristicOf,盲视患者
交替知觉,observedIn,双目竞争
交替知觉,observedIn,完形转换
神经解剖方法,employedIn,视知觉研究
整体功能态,centralTo,统一场进路
特定神经回路,centralTo,建构块进路
神经元协作,essentialFor,意识产生
同步振荡,indicatorOf,意识状态
高维分辨,keyConceptIn,THHD理论
现象转换,postulatedIn,THHD理论
结合趋势,observedBetween,两条进路
简单印象假说,similarTo,DCH假说
非局部回路,suggestedBy,影像学证据
丘脑皮层分布,featureOf,NCC定位
技术限制,hampers,高阶分辨验证
后继过程,unclearIn,THHD理论
沟通便利,justifies,现象语言使用
私密性困扰,persistsIn,当前研究
博士学位论文,develops,复合方案
张志林,contributedTo,论文修改
李平,contributedTo,论文修改
意识研究,informedBy,心灵哲学
认知神经科学,cannotResolve,主体性问题
未来研究,neededFor,机制阐明
取消主义,criticizedFor,无效消除
概念二元论,criticizedFor,无效消除
动态核变化,correspondsTo,感受特质变化
外部输入,influences,功能簇变动
神经元竞争,featureOf,动态核形成
数学复杂性,appliedTo,意识度量
意识差异,explainedBy,量化方案
非意识状态,contrastedWith,意识状态
研究框架,limitedFor,经验说明
