start_node,relations,end_node
认知科学,hasPart,神经科学
认知科学,hasPart,心理学
认知科学,hasPart,计算机科学
认知科学,hasPart,人类学
认知科学,hasPart,语言学
认知科学,hasPart,哲学
行为和脑科学,isPartOf,认知科学
社会科学,isPartOf,认知科学
形式学科,isPartOf,认知科学
哲学的一部分,isPartOf,认知科学
心理语言学,isTypeOf,语言学
社会语言学,isTypeOf,语言学
神经语言学,isTypeOf,语言学
认知科学,studies,人类心灵
认知科学,studies,语言
语言学,studies,语言处理
哲学,studies,人类心灵
哲学,studies,语言
神经语言学,studies,大脑语言处理
心理语言学,studies,语言习得
人文学科,hasComponent,语言学
人文学科,hasComponent,哲学
语言学,isTypeOf,人文学科
哲学,isTypeOf,人文学科
社会语言学,relatedTo,社会科学
神经语言学,usesMethod,脑成像
心理语言学,usesMethod,心理学实验
哲学,basedOn,逻辑推理
认识论,isTypeOf,哲学
形而上学,isTypeOf,哲学
伦理学,isTypeOf,哲学
认识论,studies,知识结构
形而上学,studies,实在本质
伦理学,studies,道德规范
哲学,influences,科学理论澄清
语言学,influences,机器翻译
人文学科,appliedIn,认知科学教育
哲学,proposedBy,维也纳学派
自然主义,influencedBy,科学方法
实验哲学,usesMethod,实证方法
符号处理模型,simulates,人类推理
联结主义模型,basedOn,生物神经网络
适应性表征,explains,语言习得
认知架构,hasComponent,记忆存储
心理理论,appliedIn,道德心理学
执行功能模型,controls,认知过程
认知推理框架,models,人类决策
知识图谱,organizes,概念关联
事理图谱,models,事件演化
归因理论,proposedBy,海德
功能主义,proposedBy,福多
中国屋思想实验,proposedBy,塞尔
神经语言学,basedOn,跨学科方法
心理语言学,basedOn,心理因素
社会语言学,basedOn,社会互动
认知计算,simulates,人类智能
深度学习,simulates,神经网络
强化学习,optimizes,决策序列
自然语言处理,analyzes,语言认知
机器学习,discovers,数据模式
认知科学,usesMethod,计算机建模
认知科学,usesMethod,语言分析
认知科学,usesMethod,哲学推理
认知科学,usesMethod,机器人学
认知科学,usesMethod,神经成像
认知科学,usesMethod,心理学实验
脑成像,includes,功能磁共振成像
脑成像,includes,脑电图
脑成像,includes,脑磁图
脑刺激,includes,经颅磁刺激
数学建模,basedOn,逻辑学
分析哲学方法,usesMethod,概念分析
计算建模,appliedIn,人工智能
行为实验,appliedIn,心理学
神经生物学方法,appliedIn,脑科学研究
眼动追踪,analyzes,视觉注意
事件相关电位,measures,神经响应
功能性近红外光谱成像,monitors,脑氧合
科学计量学,usesMethod,可视化知识图谱
词频分析,appliedIn,研究趋势分析
罗伯特·斯坦顿,proposedBy,认知科学分支分类
伊丽莎白·阿森,wrote,《神经语言学导论》
伊迪丝·特拉格,defined,神经语言学
保罗·塔加德,influencedBy,自然主义
乔姆斯基,opposed,行为主义
福多,proposed,功能主义
塞尔,proposed,中国屋思想实验
德雷福斯,questioned,计算机能力
麦库洛克,influenced,人工神经网络
佩茨,collaboratedWith,麦库洛克
林克里德,conducted,认知实验
维也纳学派,proposed,逻辑经验主义
石里克,said,哲学澄清科学术语
爱因斯坦,influenced,相对论哲学
海德格尔,criticized,现代技术
休谟,speculated,认知局限性
康德,analyzed,认知结构
笛卡尔,explored,人类理性
柏拉图,influenced,人类心灵概念
亚里士多德,defined,理性本质
认知科学,appliedIn,教育技术
认知科学,appliedIn,智能医疗
认知科学,appliedIn,自动驾驶
人工智能,simulates,人类智能
语言处理,appliedIn,机器翻译
记忆研究,appliedIn,认知康复
注意研究,appliedIn,用户体验设计
情感研究,appliedIn,人机交互
认知偏差,studiedIn,行为金融学
风险认知,appliedIn,经济学建模
认知科学,influences,社会科学研究
认知科学,influences,人类学研究
认知科学,influences,哲学研究
认知科学,influences,伦理学探讨
认知科学,isBasisFor,人工智能伦理
认知科学,isBasisFor,机器人伦理
认知增强,usesMethod,脑机接口
数字孪生,simulates,认知过程
虚拟现实,creates,沉浸学习环境
智慧城市,integrates,空间认知研究
人类心灵,hasComponent,推理
人类心灵,hasComponent,知觉
人类心灵,hasComponent,记忆
人类心灵,hasComponent,情感
人类心灵,hasComponent,注意力
语言,hasFunction,社会智能活动
认知,involves,快速思考
认知,involves,慢速思考
记忆,isTypeOf,感官记忆
记忆,isTypeOf,短期记忆
记忆,isTypeOf,长期记忆
感知,processes,感官输入
思维,solves,复杂问题
意识,enables,自我觉知
执行功能,controls,认知过程
认知控制,regulates,行动控制
学习建构,appliedIn,儿童认知发展
记忆更新,relatedTo,神经可塑性
认知策略,enhances,问题解决
认知参与,measures,学习投入
诵读困难,relatedTo,语言处理障碍
色盲,affects,视觉感知
半侧忽视,impacts,空间认知
阿尔茨海默病,impairs,情景记忆
精神分裂症,disrupts,执行功能
抑郁症,affects,认知灵活性
焦虑症,impacts,注意控制
癫痫,causes,神经传导异常
轻度认知功能损害,precedes,痴呆
认知障碍,studiedBy,语言病理学
