start_node,relations,end_node
感知子系统,receives,环境信息
信息加工子系统,constructs,世界模型
发生子系统,effects,环境变化
长期存储子系统,archives,认知历史
控制单元,orchestrates,子系统协作
内化单元,translates,外部刺激
推理单元,resolves,认知冲突
事实库,contains,可验证命题
知识库,encapsulates,领域规律
缓冲存储器,temporarilyHolds,输入数据
拟适应性,characterizes,人工主体
生物适应性,characterizes,自然认知
硅基装置,differsFrom,碳基生命
湿件系统,exhibits,神经可塑性
干件系统,demonstrates,参数调优
相关性认知,underpins,模式识别
因果性认知,enables,深度推理
自我意识,presupposes,反思能力
元认知,facilitates,策略调整
认知灵活性,measuredBy,语境切换
归纳阶段,generates,初步假设
演绎阶段,verifies,理论预测
溯因推理,discovers,最佳解释
类比推理,transfers,跨域知识
统计推理,handles,不确定性
修正循环,iterates,知识更新
矛盾检测,triggers,规则调整
钝化机制,suspends,冲突命题
非单调逻辑,accommodates,新证据
开放推理,incorporates,外部输入
内在真值,variesBy,概率分布
外在真值,conformsTo,二元逻辑
事实真值,groundedIn,观察数据
假设真值,dependentOn,证据强度
符合论,validates,经验陈述
融贯论,evaluates,理论体系
实用主义,assesses,实践效果
语境实在论,contextualizes,意义生成
分析命题,derivesFrom,概念关系
综合命题,synthesizes,经验数据
本体论承诺,specifies,实体范畴
认识论框架,integrates,计算模型
方法论体系,guides,研究实践
解释鸿沟,bridgedBy,统一框架
意向性,constitutes,意识基础
反身性,defines,自我意识
决定论语境,favors,因果分析
概率语境,accommodates,随机事件
表征危机,resolvedBy,语境设置
认知伦理,addresses,责任归属
深度学习,extracts,分层特征
强化学习,optimizes,决策序列
Transformer,weights,语义关联
神经形态芯片,emulates,生物处理
贝叶斯网络,updates,信念状态
图计算,processes,关系网络
知识蒸馏,transfers,模型洞察
端到端系统,eliminates,中间表示
对抗训练,enhances,鲁棒性
量子算法,accelerates,认知模拟
自适应教育,personalizes,学习路径
认知康复,leverages,神经重塑
自动驾驶,processes,实时路况
医疗诊断,correlates,多源指标
脑机接口,decodes,神经活动
虚拟现实,creates,沉浸体验
伦理框架,governs,AI决策
机器道德,encodes,价值体系
可解释AI,provides,决策依据
认知安全,prevents,恶意操控
逻辑主体,embodies,推理能力
搜索主体,embodies,发现能力
决策主体,embodies,规划能力
学习主体,embodies,理解能力
问题-解决主体,embodies,创造力
认知可塑性,allows,能力重塑
执行功能,coordinates,多任务
心理理论,models,他者心智
联结主义,simulates,并行处理
符号处理,emphasizes,规则操作
人工主体,influencedBy,人类主体
硅基装置,contrastsWith,碳基生物
湿件系统,hasProperty,生物适应性
干件系统,hasProperty,拟适应性
意识,requires,反身性
智能,manifestedAs,问题解决
因果性认知,enables,深度理解
相关性认知,characterizes,人工主体
命题态度,isCharacteristicOf,人类
自我意识,isA,高级意识
修正理论,isPartOf,认知推理框架
开放认知理论,isTypeOf,语境论
符号处理模型,contrastsWith,联结主义模型
适应性表征理论,proposedBy,魏屹东
认知平衡模型,appliedIn,社会认知
产生式系统,usedBy,推理器
贝叶斯网络,models,概率推理
隐马尔科夫模型,handles,时序数据
Transformer,reliesOn,自注意力
图神经网络,processes,关系数据
实在论立场 → 客体独立存在,反身性要求 → 自我指涉能力,层级本体 → 分子/原子/亚原子
三元真值体系：事实真值+假设真值+实用真值,认知正义：算法偏见检测机制,知情透明：可解释表征路径
责任归属 → 自主系统决策链追溯,价值对齐 → 人类伦理编码,认知权利 → 意识保护公约
