start_node,relations,end_node
认知变量,isTypeOf,精神世界描述工具
认知基本单元,hasType,知觉物体
认知基本单元,hasType,组块
认知基本单元,hasType,时间格式塔
大范围拓扑不变性质,defines,认知基本单元本质
同一不变性,isPartOf,大范围拓扑不变性质
整体性,isPartOf,大范围拓扑不变性质
认知基本单元,notBasedOn,物理逻辑
认知基本单元,notBasedOn,计算分析
认知基本单元,basedOn,实验发现
知觉物体,relatedTo,特征性质不变性
组块,relatedTo,记忆存储单元
时间格式塔,relatedTo,时间组织单元
大范围拓扑不变性质,supportedBy,知觉实验
大范围拓扑不变性质,supportedBy,注意实验
大范围拓扑不变性质,supportedBy,学习实验
大范围拓扑不变性质,supportedBy,记忆实验
大范围拓扑不变性质,supportedBy,意识实验
认知变量,essentialFor,认知精神世界描述
认知基本单元,involves,形状改变不变性
认知实验范式,solves,解释歧义问题
认知实验范式,designedFor,操控变量
认知实验范式,designedFor,控制条件
认知实验范式,helps,分离混淆因素
认知实验范式,reveals,非常识机制
错觉性结合的实验范式,leadsTo,特征整合理论
注意的特征整合理论,proposedBy,Treisman
认知实验范式,basedOn,科学方案设计
认知科学家,hasSkill,范式创新
认知实验范式,appliedIn,基本单元探索
认知实验范式,challenges,输入因素不可见性
认知实验范式,challenges,输出因素不可控性
认知实验范式,essentialFor,特有方法论发展
实验范式设计,influences,理论创立
实验范式设计,influences,领域开辟
认知实验范式,relatedTo,内在因素处理
认知实验范式,relatedTo,外在因素处理
认知实验范式,basedOn,对照排除方法
认知实验范式,hasComponent,条件设置
认知实验范式,hasComponent,因素分离
脑认知成像,studies,功能定位
脑认知成像,studies,脑区联系
默认网络,discoveredBy,成像技术
默认网络,indicates,基础脑功能
默认网络,challenges,刺激反应传统
默认网络,appliedIn,疾病机制研究
脑认知成像,provides,神经表达证据
脑认知成像,enables,认知活动可视化
功能性磁共振成像,isBasisFor,脑认知成像
脑认知成像,essentialFor,理论完整性
脑认知成像,influences,自我精神认识
脑认知成像,basedOn,技术集成
脑认知成像,developsInto,整体成像概念
整体脑成像概念,relatedTo,精神物质关系
脑认知成像,hasComponent,电子成像技术
脑认知成像,hasComponent,核素成像技术
脑认知成像,simulates,活动映射
脑认知成像,influencedBy,变量研究进展
脑认知成像,influencedBy,范式发展
脑认知成像,provides,生物学约束
认知科学,isTypeOf,独立学科
认知科学,studies,智力产生机制
智力产生,relatedTo,精神世界研究
认知科学,hasPart,三大基石
认知科学,essentialFor,原创发现
认知科学,basedOn,交叉学科
认知科学,relatedTo,生物科学进步
认知科学,relatedTo,信息科学贡献
认知科学,challenges,数据理解层次
认知科学,requires,新原则
认知科学,hasMission,方法论创新
认知科学,defines,特有变量
认知科学,defines,实验方案
认知科学,defines,成像概念
基础科学,hasPart,认知科学
认知科学,involves,物质精神关系
认知科学,basedOn,40年经验
认知科学,promotes,科学变量
认知科学,promotes,实验范式
认知科学,faces,复杂性挑战
陈霖,proposed,三大基石框架
Kahneman,proposed,注意单元理论
Miller,proposed,记忆组块理论
Poepple,proposed,时间格式塔理论
Treisman,proposed,特征整合理论
陈霖,basedOn,多层次实验
陈霖,studies,拓扑定义
Kahneman,influences,物体同一性
Miller,influences,信息组块化
Poepple,influences,时间组织
Treisman,influences,注意机制
陈霖,influences,成像发展
认知科学家,contributesTo,范式设计
陈霖,focusesOn,整体成像
研究者,uses,实验证据
陈霖,advocates,概念进化
Kahneman,relatedTo,飞行鸟实验
Miller,relatedTo,短期记忆研究
Poepple,relatedTo,时间知觉实验
Treisman,relatedTo,错觉结合实验
脑认知成像,developsInto,非定位方法
整体脑成像概念,hasImpact,科学突破
整体脑成像概念,hasImpact,社会变革
认知变量,evolvesWith,深度研究
认知实验范式,evolvesWith,技术创新
脑认知成像,relatedTo,认知大脑互动
三大基石,influences,学科未来
陈霖,advocates,成像哲学
认知科学,requires,跨学科整合
认知科学,promotes,新认识论
脑认知成像,essentialFor,关系理解
认知科学,faces,机制解释
三大基石,basedOn,持续发展
认知科学,influences,人类自我认知
脑认知成像,challenges,传统观点
默认网络,promotes,内生性活动
认知科学,hasFuture,深远影响
整体脑成像,relatedTo,进化概念
认知变量,hasFuture,统一模型
实验范式,hasFuture,创新设计
