start_node,relations,end_node
认知车,isTypeOf,智能汽车
认知车,basedOn,认知科学
认知车,appliedIn,辅助驾驶系统
驾驶员任务,hasPart,中长期计划行为
驾驶员任务,hasPart,接受短期刺激
驾驶员任务,hasPart,产生动作指令
驾驶员任务,hasPart,实施动作指令
刺激-反应过程,studies,驾驶员心理建模
决策-动作过程,studies,驾驶员行为建模
环境认知,isPartOf,刺激-反应过程
驾驶员认知,isPartOf,刺激-反应过程
心理生理建模,isPartOf,刺激-反应过程
环境认知,hasComponent,道路车道认知
环境认知,hasComponent,交通灯标志认知
环境认知,hasComponent,障碍物认知
驾驶员认知,usesMethod,图像识别技术
图像识别技术,appliedIn,瞳孔朝向分析
心理生理建模,usesMethod,人工神经网络
心理生理建模,usesMethod,贝叶斯模型
决策评估,isPartOf,决策-动作过程
面向驾驶员控制,isPartOf,决策-动作过程
决策评估,hasComponent,碰撞预警
决策评估,hasComponent,车道偏离预警
决策评估,hasComponent,速度偏离预警
决策评估,hasComponent,交通信号灯预警
决策评估,hasComponent,驾驶员疲劳预警
面向驾驶员控制,appliedIn,线控系统
线控系统,exemplifiedBy,转向线控
线控系统,exemplifiedBy,制动线控
预控制,relatedTo,刹车提前补偿
认知车框架,hasComponent,驾驶员中心设计
李力,affiliatedWith,清华大学
王飞跃,affiliatedWith,中国科学院自动化所
郑南宁,affiliatedWith,西安交通大学
认知科学,integratedWith,控制理论
以人为本控制,isBasisFor,认知车理念
刺激-反应建模,influencedBy,人工智能模型
决策-动作建模,influencedBy,控制算法
疲劳驾驶,affects,反应速度
情绪影响,affects,决策合理性
环境光照,limits,视频监控精度
贝叶斯模型,lacks,在线调整能力
驾驶员意图,evaluatedBy,参考指令对比
复杂场景,challenges,决策评估
新驾驶员训练,relatedTo,行为理解优化
主动悬架系统,enhances,驾驶安全性
人机交互,studies,信任度度量
控制滞后,obstructs,动作及时性
全主动驾驶,usedIn,军事科研
辅助驾驶,targets,普通用户
交通参与者认知,includes,车辆检测
交通参与者认知,includes,行人检测
高级认知任务,includes,事故认知
高级认知任务,includes,天气认知
瞳孔分析,enables,注视物体判断
多信息处理,complicates,因果归因
冲动驾驶,impacts,交通安全
参考驾驶指令,comparedWith,实际行为
预减速动作,reduces,碰撞风险
车辆动力学,influences,行为适应性
控制失效,causes,自动化惊讶
智能汽车,aimsTo,缓解交通压力
认知车,promotes,人车路和谐
驾驶员建模,requires,定量数学模型
在线实时调整,isChallengeFor,决策策略
光照变化,degrades,图像判读质量
生理心理基础,varies,刺激耐受度
最优驾驶指令,isHardTo,实时生成
驾驶策略差异,complicates,行为评估
预控制补偿,softens,驾驶动作
测量误差,affects,控制精度
执行滞后,reduces,系统响应性
行为不稳定性,challenges,意图识别
车辆熟悉度,assumedIn,动力学研究
控制介入,alters,驾驶员行为
新兴交叉学科,describedAs,认知车研究
以人为本理念,emphasizedIn,控制系统
认知科学,providesFoundation,行为分析
控制理论,enhances,动作优化
环境刺激信号,triggers,生理反应
决策合理性,assessedBy,告警子系统
辅助驾驶系统,operatesVia,中间层插入
刹车预警提示,combinesWith,预减速
尾气噪音,reducedBy,柔和动作
轮胎磨损,minimizedBy,预控制
智能汽车设计,contrastsWith,传统集成
驾驶员输入输出,integrates,系统关联
市场推广,facilitatedBy,认知车理念
人类在环效应,isFocusOf,控制研究
交叉边缘学科,characterizes,认知车领域
交通设施认知,covers,道路标志
纯粹障碍物,distinguishedFrom,交通参与者
实时捕捉,achievedBy,瞳孔追踪
动机描述,isDifficultFor,真实建模
动作打断,complicates,数据收集
类比推理,usedIn,决策模拟
误报率,reductionTarget,预警系统
高难度动作,enabledBy,主动外倾控制
动力学特性,requires,驾驶员适应
信任度研究,addresses,控制失效
伦理挑战,arisesFrom,行为改变
