start_node,relations,end_node
话语,hasProperty,无边界性
情景,coConstructs,话语
语义流,isKeyTo,话语理解
认知智能,achieves,自主决策
ChatGPT,exhibits,蝴蝶效应
脑科学,supports,认知智能发展
心理学,contributesTo,认知智能
数学,underpins,认知智能
逻辑学,formsBasis,认知推理
话语分析,initiatedBy,哈里斯
话语语言学,explores,语篇性
衔接,isDefinedAs,语义联系
韩礼德,coined,衔接概念
语篇,hasCharacteristic,意图性
语篇,hasCharacteristic,可接受性
范迪克,developed,宏观结构理论
微观结构,consistsOf,单个命题
宏观结构,formedBy,删略概括
转换生成语法,dominantIn,20世纪后期
认知语言学,opposes,转换生成语法
范畴化,isMethod,意义形成
语义网络,builtFrom,概念关系
语篇世界,represents,人类认知
话语,isDefinedAs,超句体
语义,manifestedThrough,概念连接
命题,hasRelationType,核心辅围
命题,hasRelationType,平等并列
微观结构,formedBy,修辞关系
目标计划,initiates,交际过程
概念表达,precedes,语素线性化
短语线性化,precedes,句子生成
认知,involvesProcess,编码解码
认知,reliesOn,图式脚本
语言能力,isComponent,认知能力
认知语言学,basedOn,体验哲学
句法,isSymbolic,语法结构
认知语言学,viewsDiscourse,非任意性
语言学发展,hasPhase,历史比较阶段
语言学发展,hasPhase,结构主义阶段
话语,hasCore,语义实体
主题义,derivedFrom,宏观结构
李佐文,established,计算话语学
计算话语学,aimsTo,构建操作模型
霍格兰德,introduced,认知主义
现实世界,isComputable,本质属性
心智计算理论,proposedBy,萨伽德
计算,requires,形式特征
计算,requires,语义成分
计算,requires,控制过程
概念世界,contains,认知记录
物质世界,isPhysical,现实存在
语言,reflects,世界认知
意义,acquiredThrough,复杂过程
感觉,registers,个别属性
知觉,synthesizes,整体属性
范畴,abstracts,本质属性
范畴化,minimizes,认知努力
世界,modeledAs,"W=(S,T,L)"
语篇世界,constructedSimilarly,现实模型
概念,enables,理性飞跃
概念,isUnit,思维活动
层级网络模型,explains,概念关系
事实,isTypeOf,真命题
陈述性知识,concerns,事实
程序性知识,concerns,行为序列
产生式系统,uses,if-then规则
工作记忆,stores,临时信息
产生式记忆,stores,长期规则
规则执行,involves,冲突解决
ACT模型,integrates,知识类型
知识图谱,hasLimitation,静态性
事理图谱,models,事件演化
事理图谱,usesNodes,抽象事件
事理图谱,usesEdges,因果关系
逻辑推理,characterizes,人类智能
词汇链,basedOn,语义同一性
词汇链,represents,子主题
LDA模型,applies,主题计算
修辞结构理论,analyzes,连贯关系
篇章图树库,usesGraphs,表示篇章
框架语义结构,defines,情境表示
框架识别,uses,FrameNet
角色标注,requires,指代消解
情境分析,involves,事件抽取
语义整合,creates,深层理解
词向量,maps,语义相似性
神经网络语言模型,proposedBy,Bengio团队
循环神经网络,handles,序列数据
LSTM,solves,长期依赖问题
GRU,simplifies,LSTM结构
大模型,achieves,复杂推理
自注意力机制,weights,词重要性
认知智能,differsFrom,传统AI
多模态数据,combines,图像音频
跨学科合作,fosters,创新方法
传统方法,reliesOn,规则提取
智能模型,overcomes,复杂语义
多模态学习,enhances,语言理解
话语语义计算,promises,广阔前景
认知过程,simulatedBy,计算机
语言生成,involves,认知机制
知识图谱,organizes,实体关系
事理图谱,captures,事件逻辑
深度学习,enables,特征自动学习
自注意力,allows,全局上下文
GPT系列,excelsAt,语言生成
BERT模型,excelsAt,语言理解
涌现能力,appearsIn,大模型
心智计算,comparesTo,人类学习
计算话语学,combines,多领域
语义理解,requires,背景知识
概念关系,forms,语义网络
语用维度,involves,目标计划
信息加工,transforms,新旧信息
话语的本质属性,语篇的七大特征,世界的二元构成
范畴化策略,语义网络构建,产生式系统
框架识别流程,LSTM架构,自注意力机制
知识图谱构建,事理图谱应用,多模态学习
哈里斯→开创→话语分析,范迪克→建立→层级结构模型,菲尔墨→提出→框架语义学
词汇链→实现→主题计算,深度学习→赋能→语义理解,大模型→展现→涌现能力
心智计算理论→指导→AI设计,产生式系统→模拟→人类推理,ACT模型→整合→知识表征
语言学+认知科学→形成→计算话语学,心理学+AI→发展→认知智能,数学+逻辑学→支撑→形式化建模
情景与话语的共构关系,事理图谱的事件演化,信息加工的新旧转换
大模型的复杂推理能力,认知智能的蝴蝶效应,语义网络的层级涌现
图文音的综合理解,跨模态的知识表示,多感官的认知模拟
世界结构的数学建模,语义的形式化表征,认知过程的算法实现
