start_node,relations,end_node
PAD情绪模型,measures,愉悦度
PAD情绪模型,measures,激活度
PAD情绪模型,measures,优势度
眼动追踪,records,注视时间
眼动追踪,records,平均瞳孔直径
眼动追踪,records,眨眼次数
事件相关电位,detects,N1成分
事件相关电位,detects,P2成分
事件相关电位,detects,N400成分
前馈神经网络,usedFor,情感识别
情感识别模型,hasInput,眼动指标
情感识别模型,hasInput,脑电指标
情感识别模型,hasOutput,情绪类别
色彩搭配,influences,情绪反应
图案位置,affects,视觉吸引力
前额区,shows,高N1振幅
中央区,shows,高N1振幅
后枕区,shows,低N1振幅
左半球,processes,语义理解
右半球,processes,视觉外貌
双色搭配,induces,高N1振幅
图案大小,requires,高认知负荷
情感识别模型,achieves,98%准确率
眼动指标,includes,注视次数
眼动指标,includes,总注视时间
眼动指标,includes,扫视次数
脑电指标,includes,F3
脑电指标,includes,F4
脑电指标,includes,O1
脑电指标,includes,O2
脑电指标,includes,CZ
PAD情绪量表,uses,归一化公式
E-prime软件,usedFor,刺激展示
Tobii眼动仪,measures,眼动数据
SmartingPro脑电仪,records,脑电数据
Matlab软件,usedFor,数据处理
Eeglab工具箱,usedFor,脑电预处理
款式设计,correlates,负激活愉悦
色彩搭配,correlates,正激活愉悦
图案元素,correlates,正激活优势
领形,induces,高N1振幅
袖形,induces,高N400振幅
廓形,induces,低脑电波幅
单色设计,reduces,决策疲劳
三色搭配,causes,处理抑制
图案位置,increases,眨眼频率
色彩设计,affects,瞳孔反应
前馈神经网络,hasLayer,输入层
前馈神经网络,hasLayer,隐层
前馈神经网络,uses,Sigmoid函数
模型评估,uses,损失曲线
模型评估,uses,混淆矩阵
模型评估,uses,ROC曲线
模型评估,uses,误差分析
情感识别,distinguishes,积极情绪
情感识别,distinguishes,消极情绪
注视时间,indicates,视觉吸引
平均瞳孔直径,reflects,情绪唤醒
眨眼次数,relatedTo,认知负荷
N1成分,associatedWith,感官处理
P2成分,associatedWith,注意力引导
N400成分,associatedWith,语义理解
P3成分,associatedWith,最终识别
前额区,involvedIn,高级认知
中央区,involvedIn,高级认知
后枕区,involvedIn,初级视觉
左半球,sensitiveTo,语义不匹配
右半球,processes,视觉外貌
双色搭配,increases,处理复杂性
三色搭配,causes,抑制效果
图案大小,induces,高波幅
图案位置,induces,低波幅
输入特征向量,constructedFrom,生理指标
目标输出,basedOn,主观情感
数据矩阵,contains,样本特征
模型训练,uses,70%训练数据
模型训练,uses,15%验证数据
模型训练,uses,15%测试数据
损失曲线,shows,模型收敛
混淆矩阵,demonstrates,分类准确率
ROC曲线,evaluates,区分能力
误差分析,reveals,预测稳定性
服装情感设计,enhances,消费者体验
情感化定制,basedOn,情感识别模型
认知科学,provides,研究方法
神经科学技术,enables,精准情感测量
消费者研究,benefitsFrom,多模态数据
