start_node,relations,end_node
适应性表征,isTypeOf,认知理论
适应性表征,proposedBy,魏屹东
适应性表征,basedOn,进化生物学
适应性表征,relatedTo,语境依赖
适应性表征,hasComponent,适应性
适应性表征,hasComponent,表征
适应性表征,appliedIn,人工智能
适应性表征,influences,认知建模
计算-表征主义,isTypeOf,认知理论
计算-表征主义,basedOn,计算机科学
计算-表征主义,relatedTo,符号操作
计算-表征主义,influencedBy,图灵机
联结主义,isTypeOf,认知理论
联结主义,simulates,神经系统
联结主义,relatedTo,分布式表征
联结主义,hasComponent,神经元网络
动力主义,isTypeOf,认知理论
动力主义,basedOn,数学动力系统
动力主义,relatedTo,时间演化
动力主义,influences,具身认知
具身认知,isTypeOf,认知纲领
具身认知,proposedBy,瓦雷拉
具身认知,basedOn,身体经验
具身认知,relatedTo,梅洛-庞蒂
具身认知,appliedIn,机器人设计
生成认知,isTypeOf,认知纲领
生成认知,proposedBy,瓦雷拉
生成认知,basedOn,自创生理论
生成认知,relatedTo,结构耦合
生成认知,influences,情境认知
延展认知,isTypeOf,认知纲领
延展认知,relatedTo,工具中介
延展认知,appliedIn,智能辅助系统
延展认知,hasComponent,环境交互
情境认知,isTypeOf,认知纲领
情境认知,relatedTo,语境嵌入
情境认知,basedOn,社会文化环境
情境认知,appliedIn,教育技术
心理表征,isTypeOf,认知过程
心理表征,relatedTo,意向性
心理表征,hasComponent,记忆提取
心理表征,influencedBy,感知经验
范式统一难题,isTypeOf,认知科学问题
范式统一难题,relatedTo,库恩理论
范式统一难题,influences,理论整合
魏屹东,proposes,适应性表征
魏屹东,studies,认知科学哲学
莱考夫,proposedBy,概念隐喻
莱考夫,influences,具身认知
约翰逊,proposedBy,概念隐喻
约翰逊,relatedTo,身体经验
瓦雷拉,proposedBy,生成认知
瓦雷拉,basedOn,现象学
汤普森,proposedBy,动力学进路
汤普森,relatedTo,涌现过程
罗施,proposedBy,具身认知
罗施,influences,认知心理学
王永炎,proposedBy,文明互鉴论
王永炎,relatedTo,中医现代化
李时珍,proposedBy,脑为元神之府
李时珍,influences,中医脑科学
王清任,proposedBy,灵机记性在脑
王清任,basedOn,解剖观察
邓铁涛,studies,心主神明临床应用
邓铁涛,appliedIn,脏躁治疗
王琦,proposedBy,中医现代化理论
王琦,relatedTo,多学科交叉
符号处理模型,isTypeOf,认知架构
符号处理模型,relatedTo,算法程序
符号处理模型,appliedIn,人工智能
联结主义模型,isTypeOf,认知架构
联结主义模型,simulates,神经网络
联结主义模型,hasComponent,节点权重
动力系统理论,isTypeOf,认知模型
动力系统理论,basedOn,状态空间
动力系统理论,relatedTo,实时演化
生成认知理论,isTypeOf,认知模型
生成认知理论,proposedBy,瓦雷拉
生成认知理论,influences,具身行动
语境依赖,isTypeOf,认知特性
语境依赖,relatedTo,历史事件
语境依赖,appliedIn,知识表征
范畴化能力,isTypeOf,认知功能
范畴化能力,relatedTo,意向表征
范畴化能力,hasComponent,概念整合
生命-心智连续性论题,isTypeOf,认知理论
生命-心智连续性论题,basedOn,进化生物学
生命-心智连续性论题,relatedTo,主体性
离身认知科学,isTypeOf,认知范式
离身认知科学,hasPart,计算-表征主义
离身认知科学,hasPart,联结主义
离身认知科学,hasPart,动力主义
具身认知科学,isTypeOf,认知范式
具身认知科学,hasPart,具身认知
具身认知科学,hasPart,生成认知
具身认知科学,hasPart,延展认知
具身认知科学,hasPart,情境认知
反表征主义,isTypeOf,认知挑战
反表征主义,proposedBy,德雷福斯
反表征主义,relatedTo,取消主义
物理符号系统假设,isTypeOf,人工智能理论
物理符号系统假设,basedOn,符号操作
物理符号系统假设,appliedIn,计算机设计
认知隐喻学,isTypeOf,语言学理论
认知隐喻学,proposedBy,拉考夫
认知隐喻学,relatedTo,身体经验
中医神明论,isTypeOf,传统理论
中医神明论,relatedTo,心脑关系
中医神明论,influencedBy,第二代认知科学
认知即生成,isTypeOf,生成认知核心
认知即生成,proposedBy,瓦雷拉
认知即生成,basedOn,生命过程
人机合一认知,isTypeOf,未来方向
人机合一认知,relatedTo,人工智能伦理
人机合一认知,appliedIn,脑机接口
