start_node,relations,end_node
人工智能,hasPart,运算智能
人工智能,hasPart,感知智能
人工智能,hasPart,认知智能
语言大模型,isTypeOf,研究范式
大脑,isPartOf,人类认知系统
语言能力,relatedTo,认知能力
话语,relatedTo,自反性
情景,relatedTo,话语
认知视角,appliedIn,话语理解
计算机,simulates,人类大脑运行机制
认知智能,hasPart,数据采集
认知智能,hasPart,数据分析
认知智能,hasPart,数据理解
认知智能,hasPart,推理
认知智能,hasPart,判断
认知智能,hasPart,规划
认知智能,hasPart,决策
ChatGPT,isTypeOf,大语言模型
认知智能,basedOn,脑科学
认知智能,basedOn,计算机科学
认知智能,basedOn,心理学
认知智能,basedOn,数学
认知智能,basedOn,逻辑学
话语分析,proposedBy,哈里斯
衔接,relatedTo,话语本质属性
宏观结构,proposedBy,范迪克
微观结构,proposedBy,范迪克
认知语言学,influencedBy,体验哲学
认知语言学,relatedTo,转换生成语法
范畴化,relatedTo,概念形成
世界,hasComponent,事态
事态,hasComponent,情景
事态,hasComponent,时间
事态,hasComponent,位置
知识图谱,relatedTo,实体关系
事理图谱,relatedTo,事件关系
词汇链,proposedBy,莫里斯
修辞结构理论,proposedBy,曼和桑普斯
篇章图树库理论,proposedBy,沃尔夫和吉布森
框架语义结构,proposedBy,菲尔墨
深度学习,usesMethod,神经网络
Word2Vec,isTypeOf,词向量模型
